Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 60,0.290704928,CNC(=O)/C(=C\c1ccco1)/NC(=O)c1ccccc1,C15H14N2O3,270.28,20,11,0.07,6,3,2,73.93,71.34,2.15,1.77,1.69,0.6,1.87,1.62,-2.64,6.17E-01,2.28E-03,Soluble,-2.89,3.51E-01,1.3E-03,Soluble,-4.61,6.68E-03,2.47E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.69,0,0,0,0,0,0.55,0,1,0,3.02
Molecule 61,0.316789216,C=CCNC(=O)c1sc2c(c1Cl)cccc2,C12H10ClNOS,251.73,16,9,0.08,4,1,1,68.97,57.34,2.77,3.82,3.47,2.89,4.49,3.49,-3.96,2.76E-02,1.1E-04,Soluble,-4.72,4.8E-03,1.91E-05,Moderately soluble,-4.82,3.85E-03,1.53E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.12,0,0,0,0,0,0.55,0,1,1,2.43
Molecule 62,0.388598022,Nc1sc(c(n1)c1cccs1)C(=O)C(F)(F)F,C9H5F3N2OS2,278.27,17,10,0.11,3,5,1,60.22,112.46,1.59,3.12,4.47,0.85,4.49,2.9,-3.77,4.75E-02,1.71E-04,Soluble,-5.15,1.97E-03,7.07E-06,Moderately soluble,-3.56,7.75E-02,2.79E-04,Soluble,High,No,No,Yes,Yes,No,No,No,-5.78,0,0,0,0,0,0.55,0,0,0,2.97
Molecule 63,0.197816313,N#Cc1ccc(cc1)C(=O)Nc1nccs1,C11H7N3OS,229.26,16,11,0,3,3,1,61.04,94.02,1.4,2.14,2.08,0.7,2.7,1.8,-2.92,2.75E-01,1.2E-03,Soluble,-3.75,4.11E-02,1.79E-04,Soluble,-3.9,2.85E-02,1.24E-04,Soluble,High,No,No,Yes,No,No,No,No,-6.18,0,0,0,0,0,0.55,0,0,1,2.11
Molecule 64,0.234355045,N#C/C(=C\c1ccccc1)/C(=O)Nc1ccccc1C,C17H14N2O,262.31,20,12,0.06,4,2,1,79.89,52.89,2.63,3.77,3.24,2.72,3.39,3.15,-4.02,2.5E-02,9.52E-05,Moderately soluble,-4.57,7E-03,2.67E-05,Moderately soluble,-5.48,8.67E-04,3.3E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.22,0,0,0,0,0,0.55,0,2,1,2.49
Molecule 65,0.283572767,N#C/C(=C\c1ccccc1)/C(=O)Nc1ccc(cc1OC)C,C18H16N2O2,292.33,22,12,0.11,5,3,1,86.38,62.12,2.97,4,3.25,2.38,3.45,3.21,-4.25,1.66E-02,5.67E-05,Moderately soluble,-5.01,2.88E-03,9.85E-06,Moderately soluble,-5.6,7.38E-04,2.52E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.24,0,0,0,0,0,0.55,0,2,1,2.6
Molecule 66,0.182345361,N#C/C(=C/c1ccccc1)/C(=O)NCc1ccccc1,C17H14N2O,262.31,20,12,0.06,5,2,1,78.19,52.89,2.48,3.05,2.65,2.45,3.26,2.78,-3.5,8.26E-02,3.15E-04,Soluble,-3.83,3.91E-02,1.49E-04,Soluble,-5.5,8.33E-04,3.18E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.73,0,0,0,0,0,0.55,0,2,0,2.39
Molecule 67,0.213497729,CCCOc1ccccc1NC(=O)/C=C/C(=O)N,C13H16N2O3,248.28,18,6,0.23,7,3,2,68.91,81.42,2.25,1.13,1.26,0.94,1.44,1.4,-1.88,3.3E+00,1.33E-02,Very soluble,-2.43,9.15E-01,3.68E-03,Soluble,-3.02,2.37E-01,9.55E-04,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,1,1,2.27
Molecule 68,0.286773795,Cc1ccc(c(c1)[N+](=O)[O-])N1C(=O)C=CC1=O,C11H8N2O4,232.19,17,6,0.09,2,4,0,64.8,83.2,1.66,1.23,0.95,0.39,-0.47,0.75,-2.18,1.52E+00,6.55E-03,Soluble,-2.57,6.18E-01,2.66E-03,Soluble,-1.93,2.74E+00,1.18E-02,Soluble,High,No,No,Yes,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,3,1,2.45
Molecule 69,0.290422886,C#CCOC(=O)Cn1c(=O)c2cccc3c2c(c1=O)ccc3,C17H11NO4,293.27,22,13,0.12,4,4,0,83.11,65.37,2.74,2.18,1.21,2.36,3.16,2.33,-3.2,1.83E-01,6.24E-04,Soluble,-3.19,1.91E-01,6.51E-04,Soluble,-4.51,8.96E-03,3.05E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.54,0,0,0,0,0,0.55,0,1,0,2.59
Molecule 70,0.229060914,O=C(NCc1cccnc1)/C=C/c1cccc(c1)[N+](=O)[O-],C15H13N3O3,283.28,21,12,0.07,6,4,1,80.25,87.81,1.83,1.88,2.06,1.44,0.8,1.6,-2.81,4.41E-01,1.56E-03,Soluble,-3.35,1.28E-01,4.51E-04,Soluble,-4.41,1.09E-02,3.86E-05,Moderately soluble,High,No,No,No,No,No,No,No,-6.69,0,0,0,0,0,0.55,0,3,0,2.48
Molecule 71,0.316425121,[O-][N+](=O)c1cccc(c1)/C=C/C(=O)n1cnc2c1cccc2,C16H11N3O3,293.28,22,15,0,4,4,0,84.66,80.71,1.98,3.23,3.19,2.89,0.73,2.41,-3.93,3.42E-02,1.16E-04,Soluble,-4.6,7.4E-03,2.52E-05,Moderately soluble,-4.01,2.84E-02,9.68E-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.8,0,0,0,0,0,0.55,0,3,0,2.62
Molecule 72,0.247975078,C#CCOC(=O)CSc1nc2c(s1)cccc2,C12H9NO2S2,263.34,17,9,0.17,5,3,0,70.02,92.73,2.8,3.19,2.64,2.14,3.93,2.94,-3.54,7.52E-02,2.86E-04,Soluble,-4.81,4.09E-03,1.55E-05,Moderately soluble,-3.66,5.71E-02,2.17E-04,Soluble,High,No,No,Yes,Yes,Yes,No,No,-5.64,0,0,0,0,0,0.55,0,1,0,2.88
Molecule 73,0.129265092,CCOC(=O)C(=O)NCc1ccccc1,C11H13NO3,207.23,15,6,0.27,6,3,1,54.92,55.4,2.25,1.69,0.71,1.17,1.54,1.47,-2.09,1.69E+00,8.14E-03,Soluble,-2.47,7.05E-01,3.4E-03,Soluble,-3.29,1.06E-01,5.13E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.36,0,0,0,0,0,0.55,0,1,1,1.39
Molecule 74,0.082611592,OC(=O)CN1CNC(=S)NC1,C5H9N3O2S,175.21,11,0,0.6,2,3,3,53.84,96.69,0.66,-2.71,-2.38,-1.35,0.1,-1.14,0.91,1.43E+03,8.18E+00,Highly soluble,1.23,2.98E+03,1.7E+01,Highly soluble,-0.02,1.68E+02,9.59E-01,Soluble,Low,No,No,No,No,No,No,No,-9.29,0,1,0,0,2,0.55,0,1,1,2.14
Molecule 75,0.217503218,O=C(N1CCOCC1)/C=C/c1cccc(c1)[N+](=O)[O-],C13H14N2O4,262.26,19,6,0.31,4,4,0,75.37,75.36,2.16,1.26,0.98,1.16,0.13,1.14,-2.23,1.55E+00,5.9E-03,Soluble,-2.44,9.49E-01,3.62E-03,Soluble,-2,2.59E+00,9.89E-03,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,0,0.55,0,3,0,2.58
Molecule 76,0.216216216,N#Cc1ccc(cc1)C(=O)Nc1cccc(c1)C(=O)C,C16H12N2O2,264.28,20,12,0.06,4,3,1,75.57,69.96,2.1,2.44,2.82,1.9,3.01,2.45,-3.2,1.68E-01,6.37E-04,Soluble,-3.55,7.41E-02,2.8E-04,Soluble,-5.34,1.21E-03,4.58E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,No,Yes,-6.18,0,0,0,0,0,0.55,0,0,0,1.83
Molecule 77,0.164041995,C=CCNC(=O)COc1ccc(cc1)[N+](=O)[O-],C11H12N2O4,236.22,17,6,0.18,7,4,1,63.51,84.15,1.59,1.87,1.28,1.26,-0.12,1.18,-2.28,1.23E+00,5.23E-03,Soluble,-3.26,1.3E-01,5.51E-04,Soluble,-2.78,3.9E-01,1.65E-03,Soluble,High,No,No,No,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,3,1,2.01
Molecule 78,0.125082727,C=CCNC(=O)COc1ccc(cc1)Br,C11H12BrNO2,270.12,15,6,0.18,6,2,1,62.39,38.33,2.46,2.84,2.13,2.16,2.66,2.45,-3.2,1.69E-01,6.25E-04,Soluble,-3.3,1.34E-01,4.98E-04,Soluble,-4.25,1.53E-02,5.68E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.93,0,0,0,0,0,0.55,0,1,0,1.89
Molecule 79,0.093130779,NC(=N)N/N=C/1\C=C/C(=N\NC(=S)N)/C=C1.[O-][N+](=O)O,C8H12N8O3S,300.3,20,0,0,4,6,6,78.23,222.81,2.46,2.84,-1.21,2.16,2.66,2.45,-3.2,1.69E-01,6.25E-04,Soluble,-3.3,1.34E-01,4.98E-04,Soluble,-4.25,1.53E-02,5.68E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.93,0,0,0,0,0,0.55,0,1,0,1.89
Molecule 80,0.377182771,O=Cc1c(Sc2ncccn2)nc2n(c1=O)cccc2C,C14H10N4O2S,298.32,21,16,0.07,3,5,0,77.97,102.52,1.96,1.06,1.76,0.33,2.15,1.45,-2.72,5.64E-01,1.89E-03,Soluble,-2.8,4.68E-01,1.57E-03,Soluble,-4.62,7.17E-03,2.4E-05,Moderately soluble,High,No,No,Yes,No,No,Yes,Yes,-7.37,0,0,0,0,0,0.55,0,1,0,2.42
Molecule 81,0.398428053,C=CCN=Cc1c(NCC=C)nc2n(c1=O)cccc2,C15H16N4O,268.31,20,10,0.13,6,3,1,82.51,58.76,3.11,1.68,1.71,1.61,2.91,2.2,-2.54,7.81E-01,2.91E-03,Soluble,-2.53,7.95E-01,2.96E-03,Soluble,-4.26,1.48E-02,5.52E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.74,0,0,0,0,0,0.55,0,2,0,2.95
Molecule 82,0.084118439,Cc1cc(C)nc(n1)S.Cl,C6H9ClN2S,176.67,10,6,0.33,0,2,0,46.18,64.58,0,2.3,2.18,0.89,2.06,1.49,-2.83,2.62E-01,1.48E-03,Soluble,-3.29,8.98E-02,5.08E-04,Soluble,-2.51,5.46E-01,3.09E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.74,0,1,0,0,1,0.55,0,1,1,1.19
Molecule 83,0.162249515,Oc1nc2ccccc2nc1S,C8H6N2OS,178.21,12,10,0,0,3,1,48.81,84.81,1.74,1.54,1.62,0.93,1.73,1.51,-2.53,5.24E-01,2.94E-03,Soluble,-2.93,2.09E-01,1.17E-03,Soluble,-2.86,2.45E-01,1.37E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.29,0,1,0,0,1,0.55,0,1,1,1.78
Molecule 84,0.271645737,Cc1cc(nc(n1)S)N1CCOCC1,C9H13N3OS,211.28,14,6,0.56,1,3,0,59.98,77.05,2.23,1.17,0.53,0.49,1.65,1.21,-2.14,1.54E+00,7.27E-03,Soluble,-2.38,8.74E-01,4.14E-03,Soluble,-2.34,9.59E-01,4.54E-03,Soluble,High,No,No,No,No,No,No,No,-6.76,0,0,0,0,0,0.55,0,1,1,1.95
Molecule 85,0.113864702,O=C(C(=O)Nc1ccccc1)Nc1ccccc1,C14H12N2O2,240.26,18,12,0,5,2,2,69.78,58.2,2.2,2.37,1.88,1.87,1.7,2,-2.99,2.48E-01,1.03E-03,Soluble,-3.23,1.41E-01,5.85E-04,Soluble,-4.92,2.88E-03,1.2E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.08,0,0,0,0,0,0.55,0,1,1,1.52
Molecule 86,0.075433912,ClCC(=O)N1CCOCC1,C6H10ClNO2,163.6,10,0,0.83,2,2,0,41.73,29.54,1.54,-0.6,-0.3,-0.05,1.17,0.35,-0.34,7.4E+01,4.53E-01,Very soluble,0.45,4.62E+02,2.83E+00,Highly soluble,-1.03,1.54E+01,9.42E-02,Soluble,High,No,No,No,No,No,No,No,-7.72,0,0,0,0,1,0.55,0,1,1,1.74
Molecule 87,0.163731246,O=Cc1cccc2c1nccc2,C10H7NO,157.17,12,10,0,1,2,0,47.13,29.96,1.61,1.93,2.05,1.14,2.62,1.87,-2.58,4.12E-01,2.62E-03,Soluble,-2.18,1.03E+00,6.56E-03,Soluble,-3.63,3.64E-02,2.32E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.89,0,2,0,0,1,0.55,0,1,1,1
Molecule 88,0.186407767,O=Cc1cccc2c1nccn2,C9H6N2O,158.16,12,10,0,1,3,0,44.93,42.85,1.35,1.43,1.44,0.23,2.09,1.31,-2.27,8.45E-01,5.34E-03,Soluble,-1.93,1.84E+00,1.16E-02,Very soluble,-3.26,8.61E-02,5.45E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,2,0,0,1,0.55,0,1,1,1.26
Molecule 89,0.150881777,O=Cc1ccc2c(c1)nccn2,C9H6N2O,158.16,12,10,0,1,3,0,44.93,42.85,1.16,1.04,1.44,0.23,2.09,1.19,-2.03,1.49E+00,9.41E-03,Soluble,-1.53,4.66E+00,2.95E-02,Very soluble,-3.26,8.61E-02,5.45E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.53,0,2,0,0,1,0.55,0,1,1,1.25
Molecule 90,0.399047052,N#CC1=C(SC)NC(=O)CC1c1ccccc1Cl,C13H11ClN2OS,278.76,18,6,0.23,2,2,1,76.93,78.19,2.24,2.18,2.66,1.81,3.1,2.4,-3.06,2.45E-01,8.78E-04,Soluble,-3.46,9.77E-02,3.5E-04,Soluble,-4.66,6.06E-03,2.17E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-6.45,0,0,0,0,0,0.55,0,0,0,3.5
Molecule 91,0.414477525,CN1CCOCC1.N#CC1=C(S)NC(=O)CC1c1ccccc1[N+](=O)[O-],C17H20N4O4S,376.43,26,6,0.41,2,6,1,108.2,149.98,2.48,0.91,1.05,0.5,-0.01,0.99,-2.79,6.16E-01,1.64E-03,Soluble,-3.65,8.52E-02,2.26E-04,Soluble,-3.04,3.42E-01,9.08E-04,Soluble,Low,No,Yes,No,Yes,No,No,No,-7.95,0,0,1,1,0,0.55,0,3,1,3.93
Molecule 92,0.145478375,C=CCN/C(=N\NC(=O)Nc1ccccc1)/S,C11H14N4OS,250.32,17,6,0.09,7,2,3,72.31,104.32,2.57,1.94,1.59,2.15,0.94,1.84,-2.41,9.66E-01,3.86E-03,Soluble,-3.76,4.4E-02,1.76E-04,Soluble,-3.56,6.88E-02,2.75E-04,Soluble,High,No,No,No,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,4,0,2.93
Molecule 93,0.123432343,S/C(=N/Nc1ccccc1)/Nc1ccccc1,C13H13N3S,243.33,17,12,0,4,1,2,76.19,75.22,2.08,3.84,3.03,3.35,2.25,2.91,-4.03,2.29E-02,9.41E-05,Moderately soluble,-5.12,1.86E-03,7.66E-06,Moderately soluble,-5.23,1.44E-03,5.92E-06,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-5.06,0,0,0,0,0,0.55,0,3,2,2.92
Molecule 94,0.292100429,C=CCn1c(S)nc2c(c1=O)cccc2,C11H10N2OS,218.27,15,10,0.09,2,2,0,63.66,73.69,2.38,2.1,1.87,2.23,2.4,2.2,-2.88,2.89E-01,1.33E-03,Soluble,-3.28,1.15E-01,5.27E-04,Soluble,-3.38,9.12E-02,4.18E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.14,0,0,0,0,0,0.55,0,2,1,2.05
Molecule 95,0.127744511,C=CCNC(=S)Nc1ccc(cc1)C,C11H14N2S,206.31,14,6,0.18,5,0,2,65.25,56.15,2.62,2.54,2.28,2.35,3.23,2.6,-2.71,4.06E-01,1.97E-03,Soluble,-3.37,8.88E-02,4.3E-04,Soluble,-3.9,2.62E-02,1.27E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.76,0,0,0,0,0,0.55,0,2,1,2
Molecule 96,0.153446034,O=S(=O)(/C=C/c1ccccc1)NNc1ccccc1,C14H14N2O2S,274.34,19,12,0,5,3,2,77.13,66.58,1.86,3.19,3.38,2.34,1.26,2.41,-3.69,5.63E-02,2.05E-04,Soluble,-4.26,1.51E-02,5.5E-05,Moderately soluble,-5.03,2.55E-03,9.29E-06,Moderately soluble,High,Yes,No,No,No,Yes,No,No,-5.71,0,0,0,0,0,0.55,0,0,0,3.09
Molecule 97,0.147668394,N#C/C(=C/c1cccnc1)/C(=S)N,C9H7N3S,189.24,13,6,0,2,2,1,54.19,94.79,1.19,0.68,1.17,-0.27,2.12,0.98,-1.65,4.22E+00,2.23E-02,Very soluble,-2.25,1.07E+00,5.66E-03,Soluble,-2,1.91E+00,1.01E-02,Soluble,High,No,No,Yes,No,No,No,No,-6.97,0,0,0,0,1,0.55,0,3,1,2.45
Molecule 98,0.130890052,CCc1ccc(cc1)/C=C(\C(=S)N)/C#N,C12H12N2S,216.3,15,6,0.17,3,1,1,66.17,81.9,2.25,2.55,2.33,1.88,3.52,2.51,-2.89,2.82E-01,1.3E-03,Soluble,-3.92,2.62E-02,1.21E-04,Soluble,-3.17,1.48E-01,6.82E-04,Soluble,High,No,No,Yes,Yes,No,No,No,-5.81,0,0,0,0,0,0.55,0,3,1,2.46
Molecule 99,0.18152662,CCOc1ccc(cc1)/C=C(\C(=O)OCC)/C#N,C14H15NO3,245.27,18,6,0.29,6,4,0,68.09,59.32,2.94,2.77,2.45,1.76,2.8,2.54,-2.96,2.71E-01,1.11E-03,Soluble,-3.67,5.23E-02,2.13E-04,Soluble,-3.59,6.26E-02,2.55E-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-5.83,0,0,0,0,0,0.55,0,2,1,2.54
Molecule 100,0.220878421,COc1ccc(cc1/C=C(\C(=S)N)/C#N)OC,C12H12N2O2S,248.3,17,6,0.17,4,3,1,69.38,100.36,2.3,1.69,1.79,0.68,2.77,1.85,-2.44,8.99E-01,3.62E-03,Soluble,-3.41,9.61E-02,3.87E-04,Soluble,-2.63,5.85E-01,2.36E-03,Soluble,High,No,No,Yes,Yes,No,No,Yes,-6.61,0,0,0,0,0,0.55,0,3,1,2.58
Molecule 101,0.14928292,COc1ccc(cc1)/C=C(\C(=S)N)/C#N,C11H10N2OS,218.27,15,6,0.09,3,2,1,62.89,91.13,1.95,1.72,1.78,0.98,2.7,1.83,-2.37,9.21E-01,4.22E-03,Soluble,-3.25,1.23E-01,5.63E-04,Soluble,-2.5,6.87E-01,3.15E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,3,1,2.24
Molecule 102,0.21356147,CCOC(=O)/C(=C\c1ccc(c(c1)OC)O)/C#N,C13H13NO4,247.25,18,6,0.23,5,5,1,65.31,79.55,2.2,2.39,1.76,0.94,1.95,1.85,-2.8,3.96E-01,1.6E-03,Soluble,-3.7,4.91E-02,1.99E-04,Soluble,-2.61,6.03E-01,2.44E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.11,0,0,0,0,0,0.55,0,2,1,2.57
Molecule 103,0.111111111,COc1ccc(cc1)C=C(C#N)C#N,C11H8N2O,184.19,14,6,0.09,2,3,0,52.14,56.81,1.92,1.97,2.02,0.98,2.04,1.79,-2.41,7.19E-01,3.91E-03,Soluble,-2.79,3E-01,1.63E-03,Soluble,-2.79,3.01E-01,1.63E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.02,0,0,0,0,1,0.55,1,1,1,1.84
Molecule 104,0.10342556,N#CC(=Cc1cccnc1)C#N,C9H5N3,155.16,12,6,0,1,3,0,43.44,60.47,1.15,0.92,1.4,-0.27,1.47,0.93,-1.69,3.2E+00,2.06E-02,Very soluble,-1.78,2.6E+00,1.68E-02,Very soluble,-2.27,8.29E-01,5.35E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.59,0,2,0,0,1,0.55,0,1,1,2.11
Molecule 105,0.099734043,N#CC(=Cc1cccs1)C#N,C8H4N2S,160.2,11,5,0,1,2,0,43.52,75.82,1.58,1.71,2.07,0.33,2.62,1.66,-2.18,1.06E+00,6.59E-03,Soluble,-2.92,1.94E-01,1.21E-03,Soluble,-1.92,1.94E+00,1.21E-02,Soluble,High,Yes,No,Yes,No,No,No,No,-6.06,0,1,0,0,1,0.55,0,1,1,2.45
Molecule 106,0.092297477,CCc1ccc(cc1)C=C(C#N)C#N,C12H10N2,182.22,14,6,0.17,2,2,0,55.42,47.58,2.1,2.83,2.57,1.88,2.87,2.45,-2.94,2.1E-01,1.15E-03,Soluble,-3.49,5.94E-02,3.26E-04,Soluble,-3.45,6.45E-02,3.54E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.4,0,0,0,0,1,0.55,1,1,1,2.08
Molecule 107,0.22625,O=Cc1cc(Cl)cc2c1OCOC2,C9H7ClO3,198.6,13,6,0.22,1,3,0,47.27,35.53,1.97,1.51,1.87,1.14,2.9,1.88,-2.3,1E+00,5.03E-03,Soluble,-1.86,2.71E+00,1.37E-02,Very soluble,-3,2E-01,1E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.44,0,0,0,0,1,0.55,0,1,1,2.34
Molecule 108,0.21361649,O=Cc1cc(cc2c1OCOC2)C(=O)O,C10H8O5,208.17,15,6,0.2,2,5,1,49.22,72.83,1.15,0.4,0.91,0.19,1.64,0.86,-1.55,5.91E+00,2.84E-02,Very soluble,-1.5,6.65E+00,3.19E-02,Very soluble,-1.76,3.63E+00,1.75E-02,Soluble,High,No,No,No,No,No,No,No,-7.29,0,0,0,0,0,0.85,0,1,1,2.41
Molecule 109,0.184746877,O=C(Nc1cccc(c1)C(F)(F)F)/C=C/C(=O)N,C11H9F3N2O2,258.2,18,6,0.09,5,5,2,57.8,72.19,1.49,1.68,2.65,1.63,1.73,1.84,-2.42,9.91E-01,3.84E-03,Soluble,-2.81,3.99E-01,1.55E-03,Soluble,-2.97,2.78E-01,1.08E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,0,1.97
Molecule 110,0.256234414,NC(=S)NC1=NN(CC1)c1cccc(c1)C,C11H14N4S,234.32,16,6,0.27,3,1,2,76.36,85.74,1.98,2.25,0.59,1.85,2.3,1.79,-2.79,3.8E-01,1.62E-03,Soluble,-3.69,4.82E-02,2.06E-04,Soluble,-2.84,3.42E-01,1.46E-03,Soluble,High,No,No,Yes,No,No,No,No,-6.13,0,0,0,0,0,0.55,0,1,1,2.79
Molecule 111,0.362007168,OC(=O)CN1C(=S)S/C(=C\c2ccco2)/C1=O,C10H7NO4S2,269.3,17,5,0.1,3,4,1,70.08,128.14,1.63,1.67,1.08,-0.47,2.27,1.24,-2.58,7.06E-01,2.62E-03,Soluble,-3.98,2.85E-02,1.06E-04,Soluble,-1.68,5.64E+00,2.09E-02,Soluble,High,No,No,Yes,No,No,No,No,-6.76,0,0,0,0,0,0.56,1,2,0,3.17
Molecule 112,0.34055355,COC(=O)CN1C(=S)S/C(=C\c2ccccc2)/C1=O,C13H11NO3S2,293.36,19,6,0.15,4,3,0,82.13,104,2.74,2.9,1.57,1.16,3.36,2.35,-3.46,1.03E-01,3.5E-04,Soluble,-4.74,5.28E-03,1.8E-05,Moderately soluble,-3.16,2.03E-01,6.93E-04,Soluble,High,No,No,Yes,Yes,Yes,No,No,-6.03,0,0,0,0,0,0.55,1,2,0,3.11
Molecule 113,0.332729469,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)C)/C1=O,C13H11NO3S2,293.36,19,6,0.15,3,3,1,82.78,115,2.12,2.94,1.79,1.16,3.34,2.27,-3.55,8.33E-02,2.84E-04,Soluble,-5.02,2.82E-03,9.62E-06,Moderately soluble,-2.84,4.21E-01,1.44E-03,Soluble,High,No,No,Yes,Yes,Yes,No,No,-6,0,0,0,0,0,0.56,1,2,0,3.14
Molecule 114,0.156187955,C=CCNC(=O)COc1cccc2c1cccc2,C15H15NO2,241.29,18,10,0.13,6,2,1,72.2,38.33,2.44,3.19,2.52,2.34,3.14,2.73,-3.36,1.05E-01,4.36E-04,Soluble,-3.67,5.2E-02,2.16E-04,Soluble,-5.08,2.03E-03,8.39E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.51,0,0,0,0,0,0.55,0,1,1,1.93
Molecule 115,0.142381903,C=CCNC(=O)COc1ccc2c(c1)cccc2,C15H15NO2,241.29,18,10,0.13,6,2,1,72.2,38.33,2.37,2.92,2.52,2.34,3.14,2.66,-3.19,1.56E-01,6.45E-04,Soluble,-3.39,9.92E-02,4.11E-04,Soluble,-5.08,2.03E-03,8.39E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-5.7,0,0,0,0,0,0.55,0,1,1,1.93
Molecule 116,0.332934132,N#Cc1ccc(nc1SC(c1ccccc1)C(=O)O)C,C15H12N2O2S,284.33,20,12,0.13,4,4,1,76.7,99.28,1.76,3.11,2.86,1.47,3.01,2.44,-3.74,5.15E-02,1.81E-04,Soluble,-4.86,3.89E-03,1.37E-05,Moderately soluble,-4.54,8.13E-03,2.86E-05,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-5.83,0,0,0,0,0,0.56,0,0,0,3.22
Molecule 117,0.12082777,Cc1cc(O)nc(n1)S,C5H6N2OS,142.18,9,6,0.2,0,3,1,36.27,84.81,1.61,1.07,0.78,-0.05,1.19,0.92,-1.89,1.84E+00,1.29E-02,Very soluble,-2.44,5.13E-01,3.61E-03,Soluble,-1.55,4.01E+00,2.82E-02,Soluble,High,No,No,No,No,No,No,No,-6.41,0,3,0,0,1,0.55,0,1,1,1.42
Molecule 118,0.284019975,N#CCCN(C(=O)c1ccc(s1)[N+](=O)[O-])CCC#N,C11H10N4O3S,278.29,19,5,0.36,7,5,0,69.76,141.95,0.83,0.94,1.93,0.03,0.38,0.82,-1.89,3.58E+00,1.29E-02,Very soluble,-3.51,8.65E-02,3.11E-04,Soluble,-2.12,2.1E+00,7.55E-03,Soluble,Low,No,No,No,No,No,No,No,-7.33,0,0,1,1,0,0.55,0,2,0,2.65
Molecule 119,0.200651466,N#CCCN(C(=O)c1cc(Cl)cc(c1)Cl)CCC#N,C13H11Cl2N3O,296.15,19,6,0.31,6,3,0,73.09,67.89,2.03,2.02,3.26,2.15,3.16,2.52,-2.79,4.84E-01,1.64E-03,Soluble,-3.07,2.5E-01,8.45E-04,Soluble,-4.7,5.95E-03,2.01E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.67,0,0,0,0,0,0.55,0,0,0,1.75
